input_path,output_path,status,original_sample_rate,original_channels,original_frames,output_sample_rate,output_channels,output_frames,original_duration_seconds,output_duration_seconds,error
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1264.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1264.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1265.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1265.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1266.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1266.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1267.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1267.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1268.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1268.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1269.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1269.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1270.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1270.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1271.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1271.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1272.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1272.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1273.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1273.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1274.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1274.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1275.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1275.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1276.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1276.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1277.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1277.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
